CÓDIGO,STATUS
KIVO11,ok
KLAS3,sem_logo
KLBN11,ok
KLBN3,ok
KLBN4,ok
KNCA11,sem_logo
KNCR11,sem_logo
KNHF11,sem_logo
KNHY11,sem_logo
KNIP11,ok
KNRE11,ok
KNRI11,sem_logo
KNSC11,ok
KNUQ11,sem_logo
KORE11,sem_logo
LAND3,ok
LASC11,sem_logo
LAVV3,ok
LC,sem_logo
LEVE3,ok
LFTT11,sem_logo
LIFE11,sem_logo
LIGT3,ok
LJQQ3,ok
LKDV11,sem_logo
LLAO11,sem_logo
LLBI3,sem_logo
LMAI11,sem_logo
LMED3,sem_logo
LOGG3,ok
LOGN3,ok
LPLP11,sem_logo
LPSB3,ok
LRDI11,sem_logo
LREN3,ok
LSAG11,sem_logo
LSOI11,sem_logo
LSOP11,sem_logo
LTEL3B,sem_logo
LTLA3B,sem_logo
LTMT11,sem_logo
LUPA3,ok
LUXM3,sem_logo
LUXM4,sem_logo
LVBI11,sem_logo
LWSA3,ok
MANA11,ok
MAPT3,sem_logo
MAPT4,ok
MATD3,ok
MAXR11,sem_logo
MBRF3,sem_logo
MCCI11,ok
MCEM11,sem_logo
MCLO11,ok
MCRE11,sem_logo
MDIA3,ok
MDNE3,ok
MEAL3,ok
MELK3,ok
MFAI11,sem_logo
MFCR11,sem_logo
MFII11,sem_logo
MGEL3,sem_logo
MGEL4,ok
MGHT11,sem_logo
MGLU3,ok
MIDW11,sem_logo
MILS3,ok
MLAS3,ok
MMAQ3,sem_logo
MMAQ4,sem_logo
MNDL3,ok
MNPR3,ok
MOTV3,sem_logo
MOVI3,ok
MRSA3B,ok
MRSA5B,sem_logo
MRSA6B,sem_logo
MRVE3,ok
MSPA3,sem_logo
MSPA4,sem_logo
MTRE3,ok
MTSA3,sem_logo
MTSA4,ok
MULT3,ok
MWET3,sem_logo
MWET4,sem_logo
MXRF11,sem_logo
MXRF12,sem_logo
MYPK3,ok
NATU3,sem_logo
NAUI11,sem_logo
NAVT11,sem_logo
NCRI11,sem_logo
NEMO3,sem_logo
NEMO5,sem_logo
NEMO6,sem_logo
NEOE3,ok
NEWL11,ok
NEWU11,sem_logo
NEXP3,ok
NFLX34,ok
NGRD3,ok
NORD3,sem_logo
NSLU11,sem_logo
NUTR3,ok
NVDA,sem_logo
NVHO11,ok
OBAL11,sem_logo
OBTC3,sem_logo
OCRE11,sem_logo
ODER3,sem_logo
ODER4,sem_logo
ODPV3,ok
OFSA3,ok
OGIN11,sem_logo
OIAG11,sem_logo
OIBR3,ok
OIBR4,ok
ONCO3,ok
ONDA11,sem_logo
OPCT3,ok
OPGM3,sem_logo
OPSE3,sem_logo
OPTS3,sem_logo
ORVR3,ok
OSXB3,ok
OUFF11,sem_logo
OUJP11,sem_logo
OXRL11,sem_logo
OZ1D,sem_logo
PASS3,sem_logo
PASS6,sem_logo
PATA11,sem_logo
PATC11,sem_logo
PATI3,ok
PATI4,sem_logo
PATL11,sem_logo
PCAR3,ok
PCIP11,sem_logo
PDBM11,sem_logo
PDGR3,ok
PDTC3,ok
PEAB3,ok
PEAB4,ok
PEMA11,sem_logo
PETR3,ok
PETR4,ok
PFF,sem_logo
PFRM3,ok
PGMN3,ok
PINE3,ok
PINE4,ok
PLAG11,ok
PLAS3,sem_logo
PLCA11,sem_logo
PLD,sem_logo
PLPL3,ok
PLRI11,sem_logo
PMAM3,ok
PMFO11,sem_logo
PMIS11,ok
PMLL11,sem_logo
PMRL11,sem_logo
PNCR11,sem_logo
PNDL11,sem_logo
PNPR11,sem_logo
PNRC11,sem_logo
PNVL3,ok
POMO3,ok
POMO4,ok
PORD11,sem_logo
POSI3,ok
PPAR3,sem_logo
PPLA11,ok
PQAG11,ok
PQDP11,sem_logo
PRIO3,ok
PRNR3,ok
PRPT3,sem_logo
